scrapeNum,courseCodes,link
0,BU111,https://academic-calendar.wlu.ca/course.php?c=49770&cal=1&d=1942&s=899&y=77
1,BU121,https://academic-calendar.wlu.ca/course.php?c=49771&cal=1&d=1942&s=899&y=77
2,BU127,https://academic-calendar.wlu.ca/course.php?c=49774&cal=1&d=1942&s=899&y=77
3,BU208,https://academic-calendar.wlu.ca/course.php?c=49772&cal=1&d=1942&s=899&y=77
4,BU223,https://academic-calendar.wlu.ca/course.php?c=49773&cal=1&d=1942&s=899&y=77
5,BU225,https://academic-calendar.wlu.ca/course.php?c=49860&cal=1&d=1942&s=899&y=77
6,BU231,https://academic-calendar.wlu.ca/course.php?c=49775&cal=1&d=1942&s=899&y=77
7,BU233,https://academic-calendar.wlu.ca/course.php?c=49776&cal=1&d=1942&s=899&y=77
8,BU247,https://academic-calendar.wlu.ca/course.php?c=49777&cal=1&d=1942&s=899&y=77
9,BU275,https://academic-calendar.wlu.ca/course.php?c=49778&cal=1&d=1942&s=899&y=77
10,BU283,https://academic-calendar.wlu.ca/course.php?c=49854&cal=1&d=1942&s=899&y=77
11,BU288,https://academic-calendar.wlu.ca/course.php?c=49779&cal=1&d=1942&s=899&y=77
12,BU321,https://academic-calendar.wlu.ca/course.php?c=49856&cal=1&d=1942&s=899&y=77
13,BU352,https://academic-calendar.wlu.ca/course.php?c=49780&cal=1&d=1942&s=899&y=77
14,BU353,https://academic-calendar.wlu.ca/course.php?c=49781&cal=1&d=1942&s=899&y=77
15,BU354,https://academic-calendar.wlu.ca/course.php?c=49782&cal=1&d=1942&s=899&y=77
16,BU357,https://academic-calendar.wlu.ca/course.php?c=49851&cal=1&d=1942&s=899&y=77
17,BU362,https://academic-calendar.wlu.ca/course.php?c=49783&cal=1&d=1942&s=899&y=77
18,BU375,https://academic-calendar.wlu.ca/course.php?c=49784&cal=1&d=1942&s=899&y=77
19,BU387,https://academic-calendar.wlu.ca/course.php?c=49785&cal=1&d=1942&s=899&y=77
20,BU393,https://academic-calendar.wlu.ca/course.php?c=49786&cal=1&d=1942&s=899&y=77
21,BU397,https://academic-calendar.wlu.ca/course.php?c=49787&cal=1&d=1942&s=899&y=77
22,BU398,https://academic-calendar.wlu.ca/course.php?c=49788&cal=1&d=1942&s=899&y=77
23,BU400,https://academic-calendar.wlu.ca/course.php?c=49847&cal=1&d=1942&s=899&y=77
